Song,Artist,BPM,Key,Duration (ms),Energy (%)
You Put A Spell On Me,Austin Giorgio,180,10A,2:37,0.446
Tennessee Whiskey,Chris Stapleton,49,11B,4:53,0.37
Echo,Jason Walker,N/A,N/A,N/A,N/A
Easily,Bruno Major,158,9A,3:13,0.789
Plant Life,Owl City,N/A,N/A,N/A,N/A
Lose Control,Teddy Swims,160,11B,3:30,0.604
Dear John (Taylor's Version),Taylor Swift,119,12B,6:45,0.468
Beanie - Slowed,Chezile,124,5A,2:28,0.455
Hearts on Fire,ILLENIUM,120,6B,4:01,0.678
Hurts Me Too,Faye Webster,96,7B,3:21,0.299
冰室,Kelly Chen,181,5A,2:42,0.89
Walk Me Home,Said The Sky,160,1A,3:36,0.485
二十五圓舞曲,moon tang,150,6B,3:56,0.445
number one girl,ROSÉ,175,9B,3:36,0.377
Singularity,BTS,104,12A,3:16,0.272
Both,Ingrid Andress,81,1B,3:23,0.525
Dive,Ed Sheeran,135,12B,3:58,0.386
Edge of Desire,John Mayer,66,11B,5:32,0.441
Crazier,Taylor Swift,133,12B,3:11,0.544
Out Of Love,Alessia Cara,118,9B,3:47,0.267
Sparks,Coldplay,103,3B,3:47,0.268
"Helplessly, Hopelessly",Jessica Andrews,145,2B,3:59,0.45
Tightrope,Michelle Williams,162,11B,3:54,0.292
a thousand years,Christina Perri,139,6B,4:45,0.407
Die With A Smile,Lady Gaga,158,11A,4:11,0.592
infinity,asumuh,124,6B,2:54,0.339
Papercut,Apollo Drive,160,10B,3:14,0.643
Je te laisserai des mots,Patrick Watson,133,10B,2:40,0.187
The Air That I Breathe - Bonus Track,Maroon 5,N/A,N/A,N/A,N/A
Shouldn't Be,Luke Chiang,N/A,N/A,N/A,N/A
Road to Glory,Jeff Marsh,113,2B,4:40,0.497
Cavanaugh Park,Something Corporate,147,1B,4:18,0.492
一絲不掛,Eason Chan,N/A,N/A,N/A,N/A
Are You Even Real (feat. Givēon),Teddy Swims,75,2B,2:27,0.296
Mais je t'aime,Grand Corps Malade,180,8A,4:30,0.412
I Have Nothing,Whitney Houston,153,8B,4:49,0.401
You And Me,Lifehouse,140,9B,3:15,0.427
Remember You Young,Thomas Rhett,114,2B,3:00,0.503
Steady My Love,JJ Lin,185,9A,4:13,0.454
Who (feat. BTS),Lauv,N/A,N/A,N/A,N/A
Beautiful Crazy,Luke Combs,103,1B,3:13,0.402
If You Love Her,Forest Blakk,51,2B,3:37,0.445
Illumielle,Jo Blankenburg,140,7B,2:41,0.485
The Divine in All of Us,Audiomachine,130,9B,2:38,0.484
Blurry,Noelle Johnson,144,6A,3:27,0.241
Here I Am,TAEYEON,100,9B,3:24,0.459
Et Bam,Mentissa,81,10B,3:39,0.342
Stuck On You,GIVĒON,158,9B,3:25,0.463
What Love Really Means,JJ Heller,146,7B,3:56,0.428
Boyfriend,Dove Cameron,180,6A,2:33,0.612
Drink You Away,Justin Timberlake,105,10B,5:31,0.633
If Only,Dove Cameron,97,5A,2:36,0.131
Can You Hold Me,NF,132,9A,3:41,0.656
Butterflies,Abe Parker,160,5B,3:03,0.484
還在流浪,Jay Chou,N/A,N/A,N/A,N/A
A Little Too Not Over You,David Archuleta,N/A,N/A,N/A,N/A
Parasite,Tokyo Project,95,4A,3:14,0.75
moon tang - 房屋供應問題 (official video),moon tang,N/A,N/A,N/A,N/A
Stuck with U (with Justin Bieber),Ariana Grande,N/A,N/A,N/A,N/A
A Drop in the Ocean,Ron Pope,73,7B,3:40,0.393
Love Me Like That (Champion Love),Ella Mai,136,1A,3:30,0.592
You Make It Easy,Jason Aldean,132,9B,3:13,0.571
I'm Gonna Find Another You,John Mayer,75,11B,2:43,0.34
There Goes My Baby,d4vd,119,3B,3:30,0.307
Nobody Knows,Shawn Mendes,110,8B,2:32,0.441
Dear John,Taylor Swift,119,12B,6:43,0.47
You Don't Do It For Me Anymore,Demi Lovato,128,4A,3:17,0.44
Incredible,James TW,181,8B,4:06,0.589
Nothing,Bruno Major,140,10B,2:42,0.27
Dazed & Confused,Ruel,128,10B,3:09,0.5
Consequences,Camila Cabello,84,8B,2:58,0.292
I Guess That's Why They Call It The Blues,Alessia Cara,80,8B,4:50,0.603
Why Don't You Love Me (feat. Demi Lovato),Hot Chelle Rae,N/A,N/A,N/A,N/A
either on or off the drugs,JPEGMAFIA,184,11A,2:20,0.605
Me and Your Mama,Childish Gambino,118,7B,6:19,0.442
ARE WE STILL FRIENDS?,"Tyler, The Creator",187,6B,4:25,0.497
"Flightless Bird, American Mouth",Iron & Wine,N/A,N/A,N/A,N/A
