Song,Artist,BPM,Key,Duration (ms),Energy (%)
You Put A Spell On Me,Austin Giorgio,180,10A,157813,0.446
Tennessee Whiskey,Chris Stapleton,49,11B,293293,0.37
Echo,Jason Walker,148,4B,212640,0.45
Easily,Bruno Major,119,6A,210240,0.256
Plant Life,Owl City,160,6B,250813,0.725
Lose Control,Teddy Swims,160,11B,210688,0.604
Dear John (Taylor's Version),Taylor Swift,119,12B,405906,0.468
Beanie - Slowed,Chezile,124,5A,148344,0.455
Hearts on Fire,ILLENIUM,180,3B,236317,0.765
Hurts Me Too,Faye Webster,96,7B,201120,0.299
冰室,Kelly Chen,181,5A,162946,0.89
Walk Me Home,Said The Sky,160,1A,216125,0.485
二十五圓舞曲,moon tang,150,6B,236977,0.445
number one girl,ROSÉ,175,9B,216442,0.377
Singularity,BTS,104,12A,196998,0.272
Both,Ingrid Andress,81,1B,203493,0.525
Dive,Ed Sheeran,135,12B,238440,0.386
Edge of Desire,John Mayer,66,11B,332066,0.441
Crazier,Taylor Swift,133,12B,191946,0.544
Out Of Love,Alessia Cara,118,9B,227693,0.267
Sparks,Coldplay,103,3B,227093,0.268
"Helplessly, Hopelessly",Jessica Andrews,145,2B,239333,0.45
Tightrope,Michelle Williams,162,11B,234448,0.292
a thousand years,Christina Perri,139,6B,285120,0.407
Die With A Smile,Lady Gaga,158,11A,251667,0.592
infinity,asumuh,124,6B,174208,0.339
Papercut,Apollo Drive,160,10B,194520,0.643
Je te laisserai des mots,Patrick Watson,133,10B,160853,0.187
The Air That I Breathe - Bonus Track,Maroon 5,118,3B,257653,0.548
Shouldn't Be,Luke Chiang,125,11A,210480,0.294
Road to Glory,Jeff Marsh,140,9B,112245,0.718
Cavanaugh Park,Something Corporate,147,1B,258265,0.492
一絲不掛,Eason Chan,144,12A,241706,0.545
Are You Even Real (feat. Givēon),Teddy Swims,75,2B,147702,0.296
Mais je t'aime,Grand Corps Malade,180,8A,270000,0.412
I Have Nothing,Whitney Houston,153,8B,289160,0.401
You And Me,Lifehouse,140,9B,195493,0.427
Remember You Young,Thomas Rhett,114,2B,180466,0.503
Steady My Love,JJ Lin,185,9A,253068,0.454
Who (feat. BTS),Lauv,N/A,N/A,N/A,N/A
Beautiful Crazy,Luke Combs,103,1B,193200,0.402
If You Love Her,Forest Blakk,51,2B,217351,0.445
Illumielle,Jo Blankenburg,140,7B,161152,0.485
The Divine in All of Us,Audiomachine,130,9B,158986,0.484
Blurry,Noelle Johnson,144,6A,207604,0.241
Here I Am,TAEYEON,100,9B,204264,0.459
Et Bam,Mentissa,81,10B,219253,0.342
Stuck On You,GIVĒON,158,9B,205205,0.463
What Love Really Means,JJ Heller,146,7B,236200,0.428
Boyfriend,Dove Cameron,180,6A,153000,0.612
Drink You Away,Justin Timberlake,105,10B,331133,0.633
If Only,Dove Cameron,152,9B,229813,0.6
Can You Hold Me,NF,132,9A,221200,0.656
Butterflies,Abe Parker,160,5B,183937,0.484
還在流浪,Jay Chou,166,3B,265813,0.559
A Little Too Not Over You,David Archuleta,N/A,N/A,N/A,N/A
Parasite,Tokyo Project,95,4A,194288,0.75
moon tang - 房屋供應問題 (official video),moon tang,N/A,N/A,N/A,N/A
Stuck with U (with Justin Bieber),Ariana Grande,N/A,N/A,N/A,N/A
A Drop in the Ocean,Ron Pope,73,7B,220239,0.393
Love Me Like That (Champion Love),Ella Mai,136,1A,210563,0.592
You Make It Easy,Jason Aldean,132,9B,193226,0.571
I'm Gonna Find Another You,John Mayer,75,11B,163026,0.34
There Goes My Baby,d4vd,119,3B,210666,0.307
Nobody Knows,Shawn Mendes,110,8B,152239,0.441
Dear John,Taylor Swift,119,12B,403920,0.47
You Don't Do It For Me Anymore,Demi Lovato,128,4A,197720,0.44
Incredible,James TW,181,8B,246320,0.589
Nothing,Bruno Major,140,10B,162797,0.27
Dazed & Confused,Ruel,128,10B,189608,0.5
Consequences,Camila Cabello,84,8B,178466,0.292
I Guess That's Why They Call It The Blues,Alessia Cara,85,2B,270661,0.724
Why Don't You Love Me (feat. Demi Lovato),Hot Chelle Rae,148,10B,211413,0.802
either on or off the drugs,JPEGMAFIA,184,11A,140593,0.605
Me and Your Mama,Childish Gambino,118,7B,379226,0.442
ARE WE STILL FRIENDS?,"Tyler, The Creator",187,6B,265480,0.497
"Flightless Bird, American Mouth",Iron & Wine,155,5B,241917,0.403
